Time ns, Temperature
1583585558905430631, 1695
1583585559905462368, 1679
1583585560906422869, 1680
1583585561906487282, 1675
1583585562906451578, 1670
1583585563906452757, 1671
1583585564906450317, 1691
1583585565906451143, 1687
1583585566906451179, 1669
1583585567901466858, 1685
1583585568906430310, 1684
1583585569906467195, 1693
1583585570906467593, 1680
1583585571906383070, 1683
1583585572906422566, 1680
1583585573906451630, 1682
1583585574906448335, 1686
1583585575906448999, 1674
1583585576906442936, 1680
1583585577906448550, 1658
1583585578906426800, 1661
1583585579906451152, 1667
1583585580906452336, 1691
1583585581906442123, 1687
1583585582906459771, 1684
1583585583906456075, 1695
1583585584906425439, 1665
1583585585906431775, 1670
1583585586906448229, 1667
1583585587906413805, 1687
1583585588906385431, 1694
1583585589906412818, 1693
1583585590906461538, 1678
1583585591906478017, 1666
1583585592906474774, 1666
1583585593906448963, 1677
1583585594906449567, 1690
1583585595906439578, 1665
1583585596906425312, 1686
1583585597906456362, 1691
1583585598906461198, 1650
1583585599901454270, 1659
1583585600906451073, 1676
1583585601906458453, 1685
1583585602906448843, 1658
1583585603906451130, 1690
1583585604906482437, 1677
1583585605906466540, 1666
1583585606906450101, 1653
1583585607906453173, 1679
1583585608906444258, 1666
1583585609906505336, 1705
1583585610906455195, 1672
1583585611906447088, 1690
1583585612906412988, 1680
1583585613906415152, 1681
1583585614906447802, 1677
1583585615906447026, 1692
1583585616906443108, 1693
1583585617906436599, 1663
1583585618906415395, 1680
1583585619907443595, 1675
1583585620907445958, 1684
1583585621907448527, 1679
1583585622907448875, 1664
1583585623907459579, 1682
1583585624907381971, 1666
1583585625907457837, 1666
1583585626907433044, 1682
1583585627907469380, 1676
1583585628907447920, 1689
1583585629907446562, 1685
1583585630907446613, 1675
1583585631907354113, 1649
1583585632907446186, 1689
1583585633907457464, 1683
1583585634907447388, 1673
1583585635907452581, 1675
1583585636907446637, 1658
1583585637907441904, 1666
1583585638907444762, 1677
1583585639907412849, 1682
1583585640907368556, 1675
1583585641907438547, 1680
1583585642907447511, 1674
1583585643907436266, 1682
